,set_num,name,year,theme_id,num_parts
252,10189-1,Taj Mahal,2008,673,5922
253,10190-1,Market Street,2007,155,1250
254,1019-1,Mosaic Set - Lion,1986,516,18
255,10191-1,Star Justice,2008,397,893
256,10192-1,Space Skulls,2008,397,957
257,10193-1,Medieval Market Village,2009,193,1619
258,10194-1,Emerald Night,2009,673,1089
259,10195-1,Republic Dropship with AT-OT,2009,171,1758
260,10196-1,Grand Carousel,2009,673,3261
261,10197-1,Fire Brigade,2009,155,2236
262,10198-1,Tantive IV,2009,171,1408
263,10199-1,Winter Toy Shop,2009,227,815
264,10-2,Universal Building Set,1976,469,129
265,10200-1,Custom Car Garage,2008,397,894
266,1020-1,Basic Bricks,1985,516,86
267,10201-1,Takutanuva,2003,324,1
268,10202-1,Ultimate Dume (Limited Edition with Exclusive Mask Of Power),2004,324,3
269,10202-2,Ultimate Dume,2004,324,0
270,10203-1,Voporak,2005,324,0
271,10204-1,Vezon & Kardas,2006,324,0
272,10205-1,Locomotive,2002,236,234
273,102-1,4.5V Motor Set,1968,235,24
274,10210-1,Imperial Flagship,2010,153,1668
275,1021-1,Basic Vehicles,1985,516,93
276,10211-1,Grand Emporium,2010,155,2187
277,10212-1,Imperial Shuttle,2010,171,2503
278,10213-1,Shuttle Adventure,2010,673,1204
279,10213sup-1,Supplemental Pack for Shuttle Adventure Set 10213,2010,443,29
280,10214-1,Tower Bridge,2010,673,4295
281,10215-1,Obi-Wan's Jedi Starfighter,2010,171,676
282,10216-1,Winter Village Bakery,2010,227,687
283,10217-1,Diagon Alley,2011,246,2032
284,10218-1,Pet Shop,2011,155,2034
285,10219-1,Maersk Container Train,2011,673,1233
286,102-2,Imagination Basic Set 2,1971,366,0
287,10220-1,Volkswagen T1 Camper Van,2011,673,1332
288,1022-1,Mini Basic Bricks,1985,516,30
289,10221-1,Super Star Destroyer,2011,171,3152
290,10222-1,Winter Village Post Office,2011,227,822
291,10223-1,Kingdoms Joust,2012,196,1575
292,10224-1,Town Hall,2012,155,2772
293,10225-1,R2-D2,2012,171,2127
294,10226-1,Sopwith Camel,2012,673,879
295,10227-1,B-wing Starfighter,2012,171,1487
296,10228-1,Haunted House,2012,558,2064
297,10229-1,Winter Village Cottage,2012,227,1492
298,102-3,Super Value Set,1969,411,102
299,10230-1,Mini Modulars,2012,156,1356
300,1023-1,Red Baseplate,1985,516,1
301,10231-1,Shuttle Expedition,2011,673,1230
302,10232-1,Palace Cinema,2013,155,2194
303,10233-1,Horizon Express,2013,673,1351
304,10234-1,Sydney Opera House,2013,673,2989
305,10235-1,Winter Village Market,2013,228,1261
306,10236-1,Ewok Village,2013,171,1990
307,10237-1,The Tower of Orthanc,2013,566,2362
308,10240-1,Red Five X-Wing Starfighter,2013,171,1558
309,1024-1,Animals,1985,516,32
310,10241-1,Maersk Line Triple-E,2014,673,1518
311,10242-1,MINI Cooper,2014,673,1077
312,10242-2,MINI Cooper (Late 2015 Re-Issue),2015,673,1077
313,10243-1,Parisian Restaurant,2014,155,2470
314,10244-1,Fairground Mixer,2014,673,1745
315,10245-1,Santa’s Workshop,2014,228,884
316,1024601-1,Adventurers Value Pack,2001,297,1
317,10246-1,Detective’s Office,2015,155,2262
318,10247-1,Ferris Wheel,2015,673,2464
319,10248-1,Ferrari F40,2015,673,1158
320,10249-1,Winter Toy Shop,2015,228,898
321,10250-1,Year Of The Snake,2013,206,243
322,1025-1,Figures and Furniture,1985,516,35
323,10251-1,Brick Bank,2016,155,2384
324,10252-1,Volkswagen Beetle,2016,673,1167
325,10253-1,Big Ben,2016,673,4167
326,10254-1,Winter Holiday Train,2016,228,735
327,10255-1,Assembly Square,2017,155,4002
328,10256-1,Taj Mahal,2017,673,5923
329,10257-1,Carousel,2017,673,2670
330,10258-1,London Bus,2017,673,1686
331,10259-1,Winter Village Station,2017,228,902
332,10260-1,Downtown Diner,2018,155,2480
333,1026-1,Playhouse Boxes,1985,516,2
334,10261-1,Roller Coaster,2018,673,4124
335,10262-1,James Bond Aston Martin DB5,2018,673,1297
336,10263-1,Winter Village Fire Station,2018,228,1166
337,10264-1,Corner Garage,2019,155,2569
338,10265-1,Ford Mustang,2019,673,1471
339,10266-1,NASA Apollo 11 Lunar Lander,2019,673,1087
340,10267-1,Gingerbread House,2019,228,1477
341,10268-1,Vestas Wind Turbine,2018,673,834
342,10269-1,Harley-Davidson Fat Boy,2019,673,1023
343,10270-1,Bookshop,2020,155,2504
344,1027-1,Vehicles,1985,516,32
345,10271-1,Fiat 500,2020,673,960
346,10272-1,Old Trafford - Manchester United,2020,673,3898
347,10273-1,Haunted House,2020,721,3232
348,10274-1,ECTO-1,2020,721,2352
349,10275-1,Elf Club House,2020,227,1197
350,10276-1,Colosseum,2020,721,9036
351,10277-1,Crocodile Locomotive,2020,721,1279
352,10278-1,Police Station,2021,155,2924
353,10279-1,Volkswagen T2 Camper Van,2021,721,2207
354,10280-1,Flower Bouquet,2021,721,756
355,1028-1,6 x 12 Base Bricks,1985,516,6
356,10281-1,Bonsai,2021,721,878
357,10282-1,adidas Originals Superstar,2021,721,731
358,10282-2,Footshop x Adidas Originals Superstar 'Blueprinting' Bundle,2021,721,0
359,10283-1,NASA Space Shuttle Discovery,2021,721,2355
360,10284-1,Camp Nou - FC Barcelona,2021,721,5509
361,10285-1,Compass Sensor for Mindstorms NXT,2011,259,1
362,10287-1,Intelligent NXT Brick (Black),2009,259,1
363,10289-1,Bird of Paradise,2021,721,1173
364,10290-1,Pickup Truck,2021,721,1678
365,1029-1,Milk Delivery Truck - Tine,1999,50,91
366,10291-1,Queer Eye: The Fab 5 Loft,2021,721,974
367,10292-1,Friends - The Apartments,2021,721,2048
368,10293-1,Santa's Visit,2021,227,1445
369,10294-1,Titanic,2021,721,9092
370,10295-1,Porsche 911 Turbo & 911 Targa,2021,721,1458
371,10297-1,Boutique Hotel,2022,155,3068
372,10298-1,Vespa 125,2022,721,1106
373,10299-1,Real Madrid – Santiago Bernabéu Stadium,2022,721,5876
374,102A-1,Front-End Loader,1970,416,64
375,102A-2,Front-End Loader,1970,416,56
376,10-3,Locomotive Wheels,1977,456,8
377,10300-1,Back to the Future Time Machine,2022,721,1872
378,1030-1,TECHNIC I: Simple Machines Set,1985,1,211
379,10302-1,Optimus Prime,2022,721,1508
380,10303-1,Loop Coaster,2022,721,3756
381,10304-1,Chevrolet Camaro Z/28 1969,2022,721,0
382,10305-1,Lion Knight's Castle,2022,721,0
383,10306-1,Atari 2600,2022,721,0
384,10309-1,Succulents,2022,721,771
385,103-1,4.5V Motor Set with Rubber Tracks,1969,473,24
386,1031-1,Building Cards - 1030,1983,532,20
387,10311-1,Orchid,2022,721,608
388,103-2,Imagination Set 3,1971,366,568
389,1032-1,TECHNIC II Set {4.5v},1985,507,280
390,1033-1,Building Cards - 1032,1985,532,20
391,1034-1,Teachers Resource Set,1985,532,1534
392,1038-1,ERBIE the Robo-Car,1985,1,120
393,1039-1,Manual Control Set 1,1986,1,39
394,1040-1,Farm (with Picture Book),1991,516,88
395,10401-1,Rainbow Fun,2018,621,85
396,1040-2,Farm Set,1986,516,88
397,10402-1,Fun Future,2018,621,186
398,1040-3,Universal Building Set,1976,504,126
399,10403-1,World Fun,2018,621,295
400,10404-1,Ocean's Bottom,2018,621,579
401,10405-1,Mission to Mars,2018,621,871
402,104-1,Replacement 4.5V Motor,1970,235,1
403,1041-1,Harbor,1986,516,77
404,1041-2,Universal Building Set,1980,516,126
405,1042-1,Community People,1986,516,12
406,1043-1,Farm Animals (and Fences),1986,516,30
407,1044-1,Community Vehicles,1986,516,35
408,1045-1,Industrial Elements,1986,516,20
409,1045-2,Educational LEGO Building Set,1976,511,683
410,1046-1,Train Set,1985,516,65
411,1047-1,Extra Track,1986,516,12
412,1048-1,Bridge and Crossing Tracks,1986,516,15
413,1049-1,Ships - 247 elements and 1 poster,1985,510,238
414,10497-1,Galaxy Explorer,2022,721,0
415,10500-1,Horse Stable,2013,632,44
416,1050-1,Basic Pack,1986,534,381
417,10501-1,Zoo friends,2013,632,5
418,10502-1,Zoo Bus,2013,632,19
419,10503-1,Circus Show,2013,632,25
420,10504-1,My First Circus,2013,632,62
421,10505-1,Play House,2013,652,83
422,10506-1,Train Accessory Set,2013,634,24
423,10507-1,My First Train Set,2013,634,52
424,10508-1,Deluxe Train Set,2013,634,134
425,10509-1,Dusty and Chug,2013,627,16
426,105-1,Canada Post Truck,1984,67,65
427,10510-1,Ripslinger's Air Race,2013,627,40
428,10511-1,Skipper's Flight School,2013,627,53
429,10512-1,Jake's Treasure Hunt,2013,638,22
430,10513-1,Never Land Hideout,2013,638,37
431,10514-1,Jake's Pirate Ship Bucky,2013,638,56
432,10515-1,Ariel's Undersea Castle,2013,640,39
433,10516-1,Ariel's Magical Boat Ride,2012,640,30
434,10517-1,My First Garden,2013,632,38
435,10518-1,My First Construction Site,2013,632,43
436,10519-1,Garbage Truck,2013,632,16
437,105-2,Building Set,1973,469,150
438,10520-1,Big Front Loader,2013,632,12
439,10521-1,Baby Calf,2014,632,9
440,10522-1,Farm Animals,2014,632,12
441,10524-1,Farm Tractor,2014,632,29
442,10525-1,Big Farm,2014,632,120
443,10526-1,Peter Pan's Visit,2014,638,39
444,10527-1,Ambulance,2014,632,14
445,10528-1,School Bus,2014,632,26
446,10529-1,Truck,2014,632,16
447,1053-1,Community Buildings,1984,533,899
448,10531-1,Mickey Mouse and Friends,2012,641,65
449,10532-1,My First Police Set,2014,632,39
450,10538-1,Fire and Rescue Team,2014,627,30
451,10539-1,Beach Racing,2014,638,37
452,1054-1,Stena Line Ferry,1999,471,212
453,10542-1,Sleeping Beauty's Fairy Tale,2014,640,55
454,10543-1,Superman Rescue,2014,653,19
455,10544-1,The Joker Challenge,2014,653,40
456,10545-1,Batcave Adventure,2014,653,59
457,10546-1,My First Shop,2014,632,39
458,10550-1,Circus Transport,2013,632,9
459,10552-1,Creative Cars,2013,632,41
460,10553-1,Toddler Build and Play Cubes,2013,505,17
461,10554-1,Toddler Build and Pull Along,2013,505,15
462,10555-1,Creative Bucket,2013,505,65
463,10556-1,Creative Chest,2013,505,106
464,10557-1,Giant Tower,2013,505,200
465,10558-1,Number Train,2013,504,31
466,10559-1,A Fairy Tale,2013,505,16
467,10560-1,Peekaboo Jungle,2013,505,14
468,1056-1,Basic School Pack - 773 elements with teacher's manual,1985,534,785
469,10561-1,Toddler Starter Building Set,2013,505,37
470,10565-1,Creative Suitcase,2014,504,135
471,10566-1,Creative Picnic,2014,504,53
472,10567-1,Toddler Build and Boat Fun,2014,504,18
473,10568-1,Knight Tournament,2014,647,16
474,10569-1,Treasure Attack,2014,647,46
475,10570-1,All-in-One-Gift-Set,2014,504,30
476,10571-1,All-in-One-Pink-Box-of-Fun,2014,504,65
477,10572-1,All-in-One-Box-of-Fun,2014,504,65
478,10573-1,Creative Animals,2014,504,25
479,10574-1,Creative Ice Cream,2014,504,24
480,10575-1,Duplo Creative Building Cube,2014,504,75
481,10576-1,Zoo Care,2014,632,9
482,10577-1,Big Royal Castle,2014,647,135
483,10579-1,Clubhouse Café,2014,641,17
484,10580-1,Deluxe Box of Fun,2014,504,95
485,10581-1,Forest: Ducks,2015,504,13
486,10582-1,Forest: Animals,2015,504,39
487,10583-1,Forest: Fishing Trip,2015,504,32
488,10584-1,Forest: Park,2015,504,105
489,10585-1,Mom and Baby,2015,504,13
490,10586-1,Ice Cream Truck,2015,504,11
491,10587-1,Café,2015,632,52
492,10589-1,Rally Car,2015,504,13
493,10590-1,Airport,2015,632,29
494,10591-1,Fire Boat,2015,632,19
495,10592-1,Fire Truck,2015,632,26
496,10593-1,Fire Station,2015,632,105
497,10594-1,Sofia’s Royal Stable,2015,639,38
498,10595-1,Sofia’s Royal Castle,2015,639,87
499,10596-1,Disney Princess Collection,2015,640,63
500,10597-1,Birthday Parade,2015,641,24
501,10599-1,Batman Adventure,2015,653,47
502,10600-1,Classic Race,2015,506,29
503,1060-1,Road Plates and Signs,1981,533,30
504,10601-1,Delivery Vehicle,2015,632,19
505,10602-1,Camping,2015,632,38
506,10603-1,My First Bus,2015,632,17
507,10604-1,Treasure Island,2015,638,25
508,10605-1,Rosie the Ambulance,2015,648,16
509,10606-1,Backyard Clinic,2015,648,39
510,10607-1,Spider-Man Web-Bike Workshop,2015,630,13
511,10608-1,Spider-Man Spider Truck Adventure,2015,630,28
512,106-1,UNICEF Van,1985,67,59
513,1061-1,Single Disk Pack,2000,20,0
514,10615-1,My First Tractor,2015,632,12
515,10616-1,My First Playhouse,2015,504,25
516,10617-1,My First Farm,2015,632,26
517,10618-1,Creative Building Box,2015,504,70
518,1062-1,Town Vehicles,1980,533,179
519,10622-1,Large Creative Box,2015,504,193
520,10623-1,Basic Bricks Large,2015,505,60
521,1063-1,Community Workers,1985,533,169
522,1064-1,Dacta Buildings,1981,533,419
523,1065-1,House Accessories - 182 elements,1985,534,196
524,10654-1,XL Creative Brick Box,2016,621,1600
525,10655-1,Monster Trucks,2013,22,197
526,10656-1,My First LEGO Princess,2013,22,88
527,10657-1,My First LEGO Set,2013,22,148
528,10659-1,Blue Suitcase,2013,22,152
529,10659-2,Red Suitcase,2014,591,152
530,10660-1,Pink Suitcase,2013,591,157
531,1066-1,36 Little People + Accessories,1982,533,174
532,10661-1,My First LEGO Fire Station,2013,22,90
533,10662-1,LEGO Creative Bucket,2013,22,607
534,10663-1,Creative Chest,2013,22,608
535,10664-1,Creative Tower,2013,22,1600
536,10665-1,Spider-Man: Spider-Car Pursuit,2014,596,55
537,10666-1,Digger,2014,591,75
538,10667-1,Construction,2014,591,160
539,10668-1,Princess Play Castle,2014,591,150
540,10669-1,Turtle Lair,2014,591,107
541,1067-1,Community Vehicles,1985,507,257
542,10671-1,Fire Emergency,2014,591,123
543,10672-1,Batman: Defend the Batcave,2014,592,150
544,10673-1,Race Car Rally,2014,591,350
545,10674-1,Pony Farm,2014,591,306
546,10675-1,Police – The Big Escape,2014,591,146
547,10676-1,Knights’ Castle,2014,591,480
548,10677-1,Beach Trip,2015,591,74
549,10679-1,Pirate Treasure Hunt,2015,591,57
550,10680-1,Garbage Truck,2015,591,99
551,1068-1,Air Patrol,1999,87,20
552,10681-1,Creative Building Cube,2014,22,600
553,10682-1,Creative Suitcase,2014,22,1017
554,10683-1,Road Work Truck,2015,591,132
555,10684-1,Supermarket Suitcase,2015,591,140
556,10685-1,Fire Suitcase,2015,591,114
557,10686-1,Family House,2015,591,226
558,10687-1,Spider-Man Hideout,2015,596,137
559,1069-1,Speedboat,1999,92,22
560,10692-1,Creative Bricks,2015,621,221
561,10693-1,Creative Supplement,2015,621,303
562,10694-1,Creative Supplement Bright,2015,621,303
563,10695-1,Creative Building Box,2015,621,580
564,10696-1,Medium Creative Brick Box,2015,621,484
565,10697-1,XXXL Box,2015,621,1500
